Wed May 07 21:16:31 2014    myapp.profile

         1542233 function calls (1519371 primitive calls) in 34.620 seconds

   Ordered by: internal time, cumulative time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1292   15.925    0.012   15.927    0.012 C:\Python27\lib\site-packages\kivy\clock.py:183(usleep)
      404    3.566    0.009    3.938    0.010 {method 'draw' of 'kivy.graphics.instructions.Canvas' objects}
53965/49759    2.256    0.000    6.486    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1314(call_fn)
    15309    1.193    0.000    5.143    0.000 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:74(do_layout)
62209/57183    0.971    0.000    2.076    0.000 {setattr}
25726/21139    0.755    0.000    3.839    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:542(set_top)
       16    0.706    0.044    0.706    0.044 {method 'execute' of 'apsw.Cursor' objects}
   109645    0.694    0.000    1.634    0.000 C:\Python27\lib\logging\__init__.py:1199(log)
   109651    0.489    0.000    0.766    0.000 C:\Python27\lib\logging\__init__.py:1343(isEnabledFor)
    59156    0.315    0.000    1.204    0.000 {eval}
      404    0.291    0.001    0.291    0.001 {pygame.display.flip}
      404    0.288    0.001    0.288    0.001 {kivy.graphics.opengl.glClear}
   109651    0.277    0.000    0.277    0.000 C:\Python27\lib\logging\__init__.py:1329(getEffectiveLevel)
 1067/156    0.274    0.000    1.652    0.011 C:\Python27\lib\site-packages\kivy\lang.py:1571(_apply_rule)
    16400    0.271    0.000    0.376    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:10(<module>)
    90329    0.261    0.000    0.282    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:564(get_center_y)
     5190    0.232    0.000    0.640    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1302(create_handler)
    20769    0.222    0.000    9.350    0.000 C:\Python27\lib\site-packages\kivy\clock.py:287(tick)
   117200    0.190    0.000    0.190    0.000 {isinstance}
2993/2971    0.182    0.000    0.187    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:193(_touch_wndProc)
    57080    0.178    0.000    0.178    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:552(get_center_x)
    31610    0.167    0.000    0.194    0.000 C:\Python27\lib\site-packages\kivy\clock.py:243(__call__)
    18879    0.160    0.000    0.376    0.000 C:\Python27\lib\site-packages\kivy\clock.py:256(get_callback)
    37729    0.155    0.000    0.212    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1324(delayed_call_fn)
     1712    0.151    0.000    6.763    0.004 C:\Python27\lib\site-packages\kivy\clock.py:542(_process_events_before_frame)
