Mon Jun 02 22:50:18 2014    myapp.profile

         1958925 function calls (1913440 primitive calls) in 46.786 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004   46.859   46.859 C:\Python27\lib\site-packages\kivy\base.py:82(runTouchApp)
        1    0.039    0.039   46.682   46.682 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:378(mainloop)
     2328    0.084    0.000   46.636    0.020 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:286(_mainloop)
     2328    0.320    0.000   45.914    0.020 {method 'idle' of 'kivy._bases.EventLoopBase' objects}
     2328    0.132    0.000   26.411    0.011 C:\Python27\lib\site-packages\kivy\clock.py:382(tick)
     1613   19.289    0.012   19.294    0.012 C:\Python27\lib\site-packages\kivy\clock.py:183(usleep)
    20579    0.264    0.000   13.995    0.001 C:\Python27\lib\site-packages\kivy\clock.py:287(tick)
56525/47386    2.946    0.000   12.559    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1317(call_fn)
     2328    0.025    0.000    7.480    0.003 C:\Python27\lib\site-packages\kivy\clock.py:426(tick_draw)
     2328    0.211    0.000    7.454    0.003 C:\Python27\lib\site-packages\kivy\clock.py:542(_process_events_before_frame)
71414/54537    1.301    0.000    7.047    0.000 {setattr}
     2328    0.083    0.000    6.909    0.003 C:\Python27\lib\site-packages\kivy\clock.py:533(_process_events)
    68/67    0.009    0.000    6.083    0.091 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:124(populate)
      415    0.004    0.000    5.966    0.014 C:\Users\Divine\Documents\GitHub\3dl\adapters.py:37(get_view)
       77    0.037    0.000    5.962    0.077 C:\Users\Divine\Documents\GitHub\3dl\adapters.py:47(create_view)
       61    0.002    0.000    5.902    0.097 C:\Users\Divine\Documents\GitHub\3dl\listitems.py:156(__init__)
   866/61    0.239    0.000    5.900    0.097 C:\Python27\lib\site-packages\kivy\uix\widget.py:155(__init__)
   866/61    0.042    0.000    5.869    0.096 C:\Python27\lib\site-packages\kivy\lang.py:1559(apply)
 1793/244    1.119    0.001    5.798    0.024 C:\Python27\lib\site-packages\kivy\lang.py:1573(_apply_rule)
 6462/620    0.056    0.000    5.570    0.009 {method 'dispatch' of 'kivy._event.EventDispatcher' objects}
      725    0.016    0.000    5.133    0.007 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:630(on_draw)
      725    4.506    0.006    4.943    0.007 {method 'draw' of 'kivy.graphics.instructions.Canvas' objects}
        8    0.002    0.000    4.310    0.539 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:123(on_screen_change)
        8    0.000    0.000    4.310    0.539 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:207(_trigger_release)
        4    0.000    0.000    4.310    1.077 C:\Users\Divine\Documents\GitHub\3dl\listitems.py:40(on_release)
        4    0.000    0.000    4.310    1.077 C:\Users\Divine\Documents\GitHub\3dl\pagesscreen.py:60(on_selected_page)
        8    0.000    0.000    4.307    0.538 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:842(on_current)
        8    0.001    0.000    4.306    0.538 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:315(start)
       17    0.000    0.000    4.305    0.253 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:101(_do_layout)
        4    0.001    0.000    4.299    1.075 C:\Users\Divine\Documents\GitHub\3dl\listscreen.py:67(on_pre_enter)
        8    0.000    0.000    4.294    0.537 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:71(on_data)
     4656    0.196    0.000    4.270    0.001 C:\Python27\lib\site-packages\kivy\lang.py:1753(sync)
18094/14139    0.719    0.000    4.065    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:542(set_top)
    14640    1.216    0.000    4.048    0.000 C:\Python27\lib\site-packages\kivy\uix\floatlayout.py:74(do_layout)
      637    0.102    0.000    2.371    0.004 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:35(do_layout)
   115899    1.009    0.000    2.314    0.000 C:\Python27\lib\logging\__init__.py:1199(log)
      587    0.010    0.000    1.933    0.003 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:109(apply_distance)
      587    0.009    0.000    1.920    0.003 C:\Python27\lib\site-packages\kivy\effects\kinetic.py:112(apply_distance)
      574    0.012    0.000    1.913    0.003 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:93(on_value)
      590    0.026    0.000    1.869    0.003 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:27(on_scroll)
      568    0.009    0.000    1.810    0.003 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:168(on_scroll_y)
      404    0.014    0.000    1.798    0.004 C:\Users\Divine\Documents\GitHub\3dl\listviews.py:75(on_scroll_y)
    65467    0.471    0.000    1.575    0.000 {eval}
     8941    0.492    0.000    1.471    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1305(create_handler)
   115905    0.678    0.000    1.049    0.000 C:\Python27\lib\logging\__init__.py:1343(isEnabledFor)
      534    0.023    0.000    1.048    0.002 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:58(update_velocity)
      149    0.008    0.000    0.995    0.007 C:\Python27\lib\site-packages\kivy\animation.py:295(_update)
      202    0.003    0.000    0.990    0.005 C:\Users\Divine\Documents\GitHub\3dl\scroller.py:109(on_touch_move)
       16    0.000    0.000    0.930    0.058 C:\Python27\lib\site-packages\kivy\animation.py:200(stop)
       17    0.929    0.055    0.929    0.055 {method 'execute' of 'apsw.Cursor' objects}
        8    0.000    0.000    0.928    0.116 C:\Python27\lib\site-packages\kivy\uix\screenmanager.py:370(_on_complete)
       74    0.002    0.000    0.922    0.012 C:\Python27\lib\site-packages\kivy\effects\scroll.py:115(update)
       74    0.002    0.000    0.920    0.012 C:\Python27\lib\site-packages\kivy\effects\kinetic.py:132(update)
      866    0.159    0.000    0.903    0.001 C:\Python27\lib\site-packages\kivy\lang.py:1737(match)
      744    0.211    0.000    0.830    0.001 C:\Python27\lib\site-packages\kivy\lang.py:1785(_build_canvas)
     1128    0.168    0.000    0.814    0.001 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:237(render)
    41568    0.430    0.000    0.710    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1394(match)
      725    0.008    0.000    0.614    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:554(on_flip)
      725    0.022    0.000    0.606    0.001 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:275(flip)
      725    0.581    0.001    0.581    0.001 {pygame.display.flip}
      439    0.182    0.000    0.567    0.001 C:\Python27\lib\site-packages\kivy\uix\label.py:128(__init__)
     1333    0.071    0.000    0.563    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:178(texture_update)
     2328    0.226    0.000    0.551    0.000 {pygame.event.get}
        4    0.000    0.000    0.518    0.130 C:\Users\Divine\Documents\GitHub\3dl\pagesscreen.py:38(on_enter)
      818    0.030    0.000    0.442    0.001 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:433(refresh)
      310    0.005    0.000    0.437    0.001 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:429(_texture_fill)
    13722    0.299    0.000    0.428    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:8(<module>)
   126373    0.414    0.000    0.414    0.000 C:\Python27\lib\weakref.py:55(__getitem__)
        4    0.000    0.000    0.404    0.101 C:\Users\Divine\Documents\GitHub\3dl\pagesscreen.py:134(on_leave)
   115905    0.371    0.000    0.371    0.000 C:\Python27\lib\logging\__init__.py:1329(getEffectiveLevel)
4820/4790    0.142    0.000    0.325    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_pen.py:105(_pen_wndProc)
    87321    0.321    0.000    0.321    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:564(get_center_y)
    41446    0.221    0.000    0.303    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1327(delayed_call_fn)
   128329    0.292    0.000    0.292    0.000 {isinstance}
    13268    0.189    0.000    0.272    0.000 {method 'bind' of 'kivy._event.EventDispatcher' objects}
    29860    0.226    0.000    0.268    0.000 C:\Python27\lib\site-packages\kivy\clock.py:243(__call__)
    29280    0.159    0.000    0.236    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:184(proxy_ref)
    55676    0.226    0.000    0.226    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:552(get_center_x)
     1766    0.018    0.000    0.189    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:78(get_extents)
    45966    0.178    0.000    0.185    0.000 C:\Python27\lib\weakref.py:293(__contains__)
     9685    0.090    0.000    0.182    0.000 C:\Python27\lib\copy.py:66(copy)
     1348    0.029    0.000    0.178    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:85(_render_text)
      725    0.035    0.000    0.174    0.000 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:591(clear)
    18166    0.127    0.000    0.169    0.000 C:\Python27\lib\site-packages\kivy\clock.py:256(get_callback)
    11466    0.076    0.000    0.168    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1293(get_proxy)
    75128    0.160    0.000    0.160    0.000 {method 'append' of 'list' objects}
     3114    0.063    0.000    0.148    0.000 C:\Python27\lib\site-packages\kivy\core\text\text_pygame.py:39(_get_font)
    41275    0.146    0.000    0.146    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:539(get_top)
      164    0.002    0.000    0.142    0.001 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:634(on_motion)
    45070    0.141    0.000    0.141    0.000 C:\Python27\lib\weakref.py:255(__getitem__)
        1    0.013    0.013    0.138    0.138 C:\Python27\lib\site-packages\kivy\input\__init__.py:26(<module>)
    41991    0.121    0.000    0.135    0.000 {hasattr}
4820/4790    0.124    0.000    0.134    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:193(_touch_wndProc)
      725    0.133    0.000    0.133    0.000 {kivy.graphics.opengl.glClear}
    10881    0.094    0.000    0.130    0.000 C:\Python27\lib\site-packages\kivy\context.py:35(__getattribute__)
 2252/208    0.028    0.000    0.121    0.001 C:\Python27\lib\site-packages\kivy\uix\widget.py:287(on_touch_move)
      244    0.006    0.000    0.120    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:473(__init__)
     1212    0.059    0.000    0.115    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:316(add_widget)
     2781    0.071    0.000    0.112    0.000 C:\Python27\lib\collections.py:104(values)
     2328    0.097    0.000    0.111    0.000 C:\Python27\lib\site-packages\kivy\input\providers\wm_touch.py:152(update)
        6    0.000    0.000    0.101    0.017 C:\Python27\lib\logging\__init__.py:1250(_log)
        1    0.013    0.013    0.099    0.099 C:\Python27\lib\site-packages\kivy\input\providers\__init__.py:6(<module>)
        6    0.000    0.000    0.099    0.016 C:\Python27\lib\logging\__init__.py:1271(handle)
        6    0.000    0.000    0.099    0.016 C:\Python27\lib\logging\__init__.py:1303(callHandlers)
       18    0.000    0.000    0.099    0.005 C:\Python27\lib\logging\__init__.py:736(handle)
        6    0.000    0.000    0.096    0.016 C:\Python27\lib\logging\__init__.py:839(emit)
        6    0.000    0.000    0.095    0.016 C:\Python27\lib\idlelib\PyShell.py:1338(write)
        6    0.000    0.000    0.095    0.016 C:\Python27\lib\idlelib\rpc.py:594(__call__)
        6    0.000    0.000    0.094    0.016 C:\Python27\lib\idlelib\rpc.py:208(remotecall)
        6    0.000    0.000    0.092    0.015 C:\Python27\lib\idlelib\rpc.py:238(asyncreturn)
      724    0.010    0.000    0.092    0.000 C:\Python27\lib\site-packages\kivy\uix\layout.py:74(add_widget)
        6    0.000    0.000    0.092    0.015 C:\Python27\lib\idlelib\rpc.py:279(getresponse)
        6    0.000    0.000    0.091    0.015 C:\Python27\lib\idlelib\rpc.py:295(_getresponse)
        6    0.000    0.000    0.091    0.015 C:\Python27\lib\threading.py:308(wait)
      439    0.043    0.000    0.090    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:146(_create_label)
